,,,5月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
管理会社,客先名称,運搬業者,品名,,1(金),2(土),3(日),4(月),5(火),6(水),7(木),8(金),9(土),10(日),11(月),12(火),13(水),14(木),15(金),16(土),17(日),18(月),19(火),20(水),21(木),22(金),23(土),24(日),25(月),26(火),27(水),28(木),29(金),30(土),31(日),合計,,,,
,紙通商,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,紙通商,古段,0
,信一,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,信一,古段,0
,新東亜,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,新東亜,古段,0
,日本マテリオ,古段,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,日本マテリオ,古段,0
,JOP,古段,,,"21,710",,,,,,,"20,880",,,"19,380","18,990",,,"20,060","20,180",,"38,780","38,770","40,180","20,040","21,320",,,"41,030","40,720",,,"62,600",,,"424,640",,JOP,古段,"424,640"
,輸出合計,,,,"42,090","23,180",0,0,0,"19,750","84,500","20,880",0,0,"19,380","43,530","49,800","20,150","45,290","44,670",0,"64,030","38,770","40,180","85,490","46,820","46,460",0,"41,030","40,720","38,910","40,610","62,600","25,300",0,"984,140",,輸出合計,,"984,140"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.国内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.国内,,
,日本製紙（新東海製紙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,日本製紙（新東海製紙,,0
,日本製紙（特殊東海マテ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,日本製紙（特殊東海マテ,,0
,日本製紙（吉永工場,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,日本製紙（吉永工場,,0
,日本製紙(安藤紙業倉庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,日本製紙(安藤紙業倉庫,,0
,大王製紙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,大王製紙,,0
,大王製紙,大本紙料扱い,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,大王製紙,大本紙料扱い,0
,もっかいトラスト,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,650",,,,,,,"19,650",,もっかいトラスト,,"19,650"
,王子マテリア,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,王子マテリア,,0
,国内合計,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"19,650",0,0,0,0,0,0,"19,650",,国内合計,,"19,650"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,段ボール出荷合計,,,,"42,090","23,180",0,0,0,"19,750","84,500","20,880",0,0,"19,380","43,530","49,800","20,150","45,290","44,670",0,"64,030","38,770","40,180","85,490","46,820","46,460",0,"60,680","40,720","38,910","40,610","62,600","25,300",0,"1,003,790",,段ボール出荷合計,,"1,003,790"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,②新聞,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,②新聞,,
,1.輸出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.輸出,,
,東方物産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,東方物産,,0
,輸出合計,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,輸出合計,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.国内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.国内,,
,中越パルプ工業,,,,"11,440",,,,,,,,,,,,"21,450","8,880",,,,,,,,,,,,,,,,,,"41,770",,中越パルプ工業,,"41,770"
,高尾製紙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,高尾製紙,,0
,大王製紙,,,,,,,,,,,,,,,,"12,550",,,,,,,,,,,,,,,"12,860",,,,"25,410",,大王製紙,,"25,410"
,ティーエスエンバイロ,パレ残紙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ティーエスエンバイロ,パレ残紙,0
,国内合計,,,,"11,440",0,0,0,0,0,0,0,0,0,0,0,"34,000","8,880",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,860",0,0,0,"67,180",,国内合計,,"67,180"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,新聞出荷合計,,,,"11,440",0,0,0,0,0,0,0,0,0,0,0,"34,000","8,880",0,0,0,0,0,0,0,0,0,0,0,0,0,"12,860",0,0,0,"67,180",,新聞出荷合計,,"67,180"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,③雑誌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,③雑誌,,
,1.輸出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.輸出,,
,東方物産,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,東方物産,,0
,阪和興業,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,阪和興業,,0
,KPP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,KPP,,0
,ＪＰ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,ＪＰ,,0
,日商岩井,,,,,,,,,,,,,,,"21,500",,,,,,,,,,,,,,,,,,,,"21,500",,日商岩井,,"21,500"
,JOP,,,,,,,,,,,,"44,530",,,,,,,,,,,,,,"45,720",,,,,,,,,"90,250",,JOP,,"90,250"
,日本紙通商,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,日本紙通商,,0
,美国中南日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,560",,,,,"22,560",,美国中南日本,,"22,560"
,VIPA,,,,"22,330","22,020",,,,,"21,570",,,,,,,,,,,,,,,,,,,,,,,"43,850",,"109,770",,VIPA,,"109,770"
,輸出合計,,,,"22,330","22,020",0,0,0,0,"21,570",0,"44,530",0,0,"21,500",0,0,0,0,0,0,0,0,0,0,"45,720",0,0,0,"22,560",0,0,"43,850",0,"244,080",,輸出合計,,"244,080"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.国内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.国内,,
,日本製紙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,日本製紙,,0
,いわき大王製紙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,いわき大王製紙,,0
,いわき大王製紙,板紙ﾐｯｸｽ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,いわき大王製紙,板紙ﾐｯｸｽ,0
,国内合計,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,国内合計,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,雑誌出荷合計,,,,"22,330","22,020",0,0,0,0,"21,570",0,"44,530",0,0,"21,500",0,0,0,0,0,0,0,0,0,0,"45,720",0,0,0,"22,560",0,0,"43,850",0,"244,080",,雑誌出荷合計,,"244,080"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,④プラ類,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,④プラ類,,
,1.輸出,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.輸出,,
